@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute inputs-5 numeric
@attribute inputs-6 numeric
@attribute inputs-7 numeric
@attribute inputs-8 numeric
@attribute inputs-9 numeric
@attribute inputs-10 numeric
@attribute inputs-11 numeric
@attribute inputs-12 numeric
@attribute inputs-13 numeric
@attribute inputs-14 numeric
@attribute inputs-15 numeric
@attribute inputs-16 numeric
@attribute inputs-17 numeric
@attribute inputs-18 numeric
@attribute outputs-1 numeric
@attribute outputs-2 numeric
@attribute outputs-3 numeric

@data
55,'2025/11/18 22:33:59:506',1,0.300572,0.305663,0.000001,0.35708,0.520031,-0.077986,0.299925,0.663757,-0.095204,0.294579,0.666252,-0.061873,0.315071,0.625708,-0.042577,0.331054,0.571739,-0.028943,1,0,0
56,'2025/11/18 22:33:59:576',1,0.279582,0.297957,0.000001,0.344157,0.522444,-0.073963,0.284811,0.662935,-0.089869,0.275009,0.670763,-0.060002,0.284826,0.645481,-0.040236,0.296545,0.596378,-0.0224,1,0,0
57,'2025/11/18 22:33:59:635',1,0.258199,0.28829,0.000001,0.33134,0.520715,-0.075206,0.271461,0.660464,-0.092071,0.259189,0.667764,-0.06122,0.26575,0.646125,-0.042642,0.278269,0.591552,-0.024046,1,0,0
58,'2025/11/18 22:33:59:716',1,0.239156,0.284743,0,0.31329,0.514877,-0.073242,0.253501,0.658412,-0.094369,0.244651,0.66328,-0.067819,0.241952,0.64331,-0.044544,0.237007,0.614457,-0.026797,1,0,0
59,'2025/11/18 22:33:59:780',1,0.228545,0.287201,0,0.301461,0.520544,-0.074065,0.236884,0.658368,-0.094612,0.222893,0.671508,-0.069449,0.227357,0.647281,-0.048486,0.229196,0.610219,-0.030022,1,0,0
60,'2025/11/18 22:33:59:842',1,0.217008,0.28441,0.000001,0.287212,0.51671,-0.077988,0.224082,0.655764,-0.093293,0.209495,0.666734,-0.066891,0.206802,0.645584,-0.043029,0.203492,0.609423,-0.023288,1,0,0
61,'2025/11/18 22:33:59:904',1,0.206535,0.285034,0.000001,0.281409,0.521438,-0.079259,0.215268,0.659401,-0.088259,0.202516,0.671225,-0.063979,0.197017,0.646772,-0.037187,0.188278,0.608082,-0.014905,1,0,0
62,'2025/11/18 22:33:59:982',1,0.198822,0.281577,0.000001,0.277169,0.522759,-0.082242,0.209126,0.66094,-0.089654,0.194736,0.669213,-0.060505,0.186338,0.643112,-0.031678,0.173523,0.594998,-0.00665,1,0,0
63,'2025/11/18 22:34:00:046',1,0.193882,0.281868,0.000001,0.272267,0.525602,-0.084679,0.203383,0.663608,-0.090391,0.188203,0.66987,-0.057833,0.177438,0.640052,-0.02756,0.156435,0.582621,-0.002535,1,0,0
64,'2025/11/18 22:34:00:116',1,0.187095,0.279134,0.000001,0.266905,0.525197,-0.084318,0.198999,0.664479,-0.090992,0.182884,0.669533,-0.055973,0.171312,0.635968,-0.02447,0.145497,0.573784,0.001709,1,0,0
65,'2025/11/18 22:34:00:178',1,0.186833,0.285508,0.000001,0.266722,0.528498,-0.087936,0.194232,0.670967,-0.099396,0.177261,0.678662,-0.060654,0.168958,0.645469,-0.028345,0.143572,0.578153,-0.002002,1,0,0
66,'2025/11/18 22:34:00:248',1,0.183639,0.284159,0.000001,0.265015,0.534971,-0.085105,0.195471,0.670989,-0.087354,0.179383,0.674375,-0.050497,0.168485,0.641532,-0.019916,0.144062,0.580401,0.006403,1,0,0
67,'2025/11/18 22:34:00:307',1,0.189189,0.286441,0.000001,0.265785,0.541382,-0.082249,0.19956,0.673073,-0.080052,0.182683,0.679001,-0.047094,0.172316,0.650488,-0.019281,0.156251,0.599862,0.005411,1,0,0
68,'2025/11/18 22:34:00:368',1,0.189947,0.290076,0.000001,0.268572,0.540764,-0.079238,0.2014,0.676829,-0.086282,0.185754,0.684501,-0.055247,0.176157,0.656206,-0.026284,0.161259,0.601247,-0.003391,1,0,0
69,'2025/11/18 22:34:00:450',1,0.193398,0.298478,0.000001,0.278458,0.55025,-0.082448,0.207938,0.68785,-0.093148,0.192621,0.702942,-0.065592,0.186852,0.678412,-0.037633,0.180624,0.63227,-0.014813,1,0,0
70,'2025/11/18 22:34:00:515',1,0.194143,0.317102,0.000001,0.279777,0.570122,-0.077968,0.215061,0.703705,-0.089878,0.195161,0.720003,-0.063321,0.186743,0.696072,-0.038244,0.182768,0.657392,-0.015747,1,0,0
71,'2025/11/18 22:34:00:577',1,0.187305,0.342898,0.000001,0.280733,0.598273,-0.065112,0.208003,0.734007,-0.087627,0.192771,0.748419,-0.06677,0.185694,0.733805,-0.04724,0.183912,0.703008,-0.030843,1,0,0
72,'2025/11/18 22:34:00:651',1,0.187424,0.374109,0.000001,0.280965,0.632958,-0.063491,0.210659,0.765822,-0.072686,0.192363,0.778553,-0.053529,0.186325,0.758853,-0.03419,0.185086,0.723403,-0.013565,1,0,0
73,'2025/11/18 22:34:00:714',1,0.196241,0.398664,0.000001,0.287077,0.66185,-0.065354,0.218299,0.7903,-0.079832,0.198505,0.805601,-0.057911,0.191008,0.788496,-0.038324,0.188711,0.751232,-0.017857,1,0,0
74,'2025/11/18 22:34:00:774',1,0.209192,0.424519,0.000001,0.301424,0.686785,-0.060275,0.227274,0.81928,-0.06593,0.209331,0.832391,-0.047178,0.199496,0.817975,-0.027979,0.196073,0.781555,-0.007455,1,0,0
75,'2025/11/18 22:34:00:850',1,0.206203,0.44407,0.000001,0.30982,0.716584,-0.072247,0.240019,0.849477,-0.082644,0.225047,0.860165,-0.058132,0.214182,0.83972,-0.032595,0.20883,0.799917,-0.009496,1,0,0
76,'2025/11/18 22:34:00:914',1,0.210808,0.482945,0.000001,0.320062,0.750519,-0.061792,0.25052,0.886238,-0.067589,0.230453,0.901139,-0.047223,0.220441,0.884747,-0.025563,0.216763,0.845712,-0.003654,1,0,0
77,'2025/11/18 22:34:00:980',1,0.224702,0.505269,0.000001,0.328595,0.778056,-0.062437,0.256411,0.913503,-0.066054,0.238675,0.922302,-0.041992,0.227718,0.902115,-0.019325,0.222779,0.864849,0.002801,1,0,0
78,'2025/11/18 22:34:01:040',1,0.233123,0.529137,0.000001,0.336459,0.793854,-0.069147,0.265668,0.927735,-0.072179,0.246594,0.938168,-0.047253,0.237633,0.920509,-0.021382,0.233811,0.883613,0.002455,1,0,0
79,'2025/11/18 22:34:01:113',1,0.245935,0.548821,0.000001,0.346893,0.802149,-0.062974,0.274273,0.940542,-0.068238,0.257457,0.946682,-0.044124,0.251767,0.930403,-0.020494,0.246974,0.892926,-0.00003,1,0,0
